id,marque_observee,marque_canonique,alias_marque,fabricant,gamme_observee,gamme_canonique,classe_fonctionnelle,reference,nom,quantite,confiance,statut,avertissements,source_photo,source_hashes,couleur_hex,famille_couleur,fini,medium,volume_ml,tags,usages_conseilles,fiche_fabricant,image_fabricant,source_image,credit_image,verifie_le,notes,cle_dedoublonnage
the-army-painter-speedpaint-zealot-yellow,ARMY PAINTER,The Army Painter,Army Painter,The Army Painter,SPEED PAINT,Speedpaint,one_coat_contrast,WP2013P,Zealot Yellow,1,0.98,confirme,,imports/archive/2026-08-30/IMG_5311.jpeg,641b8a6d2d343f183064b457ec5812024a79e804e1cceb00f2012a13fac9f775,#D4B12F,Jaune chaud,transparent contrasté,acrylique à l’eau,18,jaune|signalétique|Speedpaint|une couche,Marquages jaunes|Tissus|Lumières chaudes,https://thearmypainter.com/products/speedpaint-speedpaint-zealot-yellow-wp2013p,/manufacturer/army-painter-zealot-yellow-wp2013p.jpg,https://thearmypainter.com/cdn/shop/files/WP2013P_0.jpg?v=1750957887&width=3000,Packshot officiel The Army Painter · copie locale,2026-08-30,Appliquer généreusement en une couche sur une sous-couche claire ; palette dure recommandée.,the-army-painter|speedpaint|ref:WP2013P
vallejo-game-color-hexed-lichen,VALLEJO,Vallejo,Acrylicos Vallejo,Acrylicos Vallejo,GAME COLOR,Game Color,opaque_standard,72.015,Hexed Lichen,1,0.99,confirme,,imports/photos/IMG_5312.jpeg,91ce084c40a55be16b811e9f56685e7249539445ec68314468e5bd2bb2a9317f,#56345F,Violet lichen,mat opaque,acrylique à l’eau,18,violet|lichen|fantasy|Vallejo,Tissus violets|Peaux fantastiques|Ombres colorées,https://acrylicosvallejo.com/wp-content/uploads/2025/09/CC266-Game_Color.pdf,,,,2026-08-30,Hexed Lichen 72.015 confirmé dans le nuancier Game Color. Couleur d’interface indicative.,vallejo|game-color|ref:72.015
vallejo-game-color-metallic-chainmail,VALLEJO,Vallejo,Acrylicos Vallejo,Acrylicos Vallejo,GAME COLOR METALLIC,Game Color Metallic,metallic,72.053,Chainmail,1,0.99,confirme,,imports/archive/2026-08-30/IMG_5311.jpeg,641b8a6d2d343f183064b457ec5812024a79e804e1cceb00f2012a13fac9f775,#818A90,Acier moyen,métallique,acrylique à l’eau,18,acier|métal|armure|Vallejo,Cottes de mailles|Armes|Armures et machines,https://acrylicosvallejo.com/en/producto/hobby/sets/basic-en/metallic-colors-72303/,/manufacturer/vallejo-chainmail-72053.jpg,https://www.vallejo-farben.de/media/image/product/61556/md/chainmail-18-ml-game-metallic.jpg,Packshot Acrylicos Vallejo · copie locale · source de distribution : Vallejo-Farben.de,2026-08-30,Couleur d’interface indicative. Référence et contenance confirmées dans la documentation Vallejo.,vallejo|game-color-metallic|ref:72.053
vallejo-game-color-metallic-dark-gunmetal,VALLEJO,Vallejo,Acrylicos Vallejo,Acrylicos Vallejo,GAME COLOR METALLIC,Game Color Metallic,metallic,72.054,Dark Gunmetal,1,0.99,confirme,,imports/photos/IMG_5312.jpeg,91ce084c40a55be16b811e9f56685e7249539445ec68314468e5bd2bb2a9317f,#51595A,Acier sombre,métallique,acrylique à l’eau,18,acier|métal|sombre|Vallejo,Armes sombres|Armures|Machines,https://acrylicosvallejo.com/en/category/hobby/game-color-en/page/5/,,,,2026-08-30,Nom Dark Gunmetal et référence confirmés dans le catalogue Vallejo. Couleur d’interface indicative.,vallejo|game-color-metallic|ref:72.054
vallejo-game-color-metallic-silver,VALLEJO,Vallejo,Acrylicos Vallejo,Acrylicos Vallejo,GAME COLOR METALLIC,Game Color Metallic,metallic,72.052,Silver,1,0.99,confirme,,imports/archive/2026-08-30/IMG_5311.jpeg,641b8a6d2d343f183064b457ec5812024a79e804e1cceb00f2012a13fac9f775,#B9BEC1,Argent clair,métallique,acrylique à l’eau,18,argent|métal|éclaircissement|Vallejo,Arêtes métalliques|Armes et armures claires|Éclats et usure,https://acrylicosvallejo.com/en/producto/hobby/sets/basic-en/metallic-colors-72303/,/manufacturer/vallejo-silver-72052.jpg,https://www.vallejo-farben.de/media/image/product/61452/md/silver-18-ml-game-metallic.jpg,Packshot Acrylicos Vallejo · copie locale · source de distribution : Vallejo-Farben.de,2026-08-30,Couleur d’interface indicative. Référence et contenance confirmées dans la documentation Vallejo.,vallejo|game-color-metallic|ref:72.052
vallejo-model-color-yellow-ochre,VALLEJO,Vallejo,Acrylicos Vallejo,Acrylicos Vallejo,MODEL COLOR,Model Color,opaque_standard,70.913,Yellow Ochre,1,0.99,confirme,,imports/photos/IMG_5312.jpeg,91ce084c40a55be16b811e9f56685e7249539445ec68314468e5bd2bb2a9317f,#C49432,Ocre jaune,mat opaque,acrylique à l’eau,18,ocre|jaune|terre|Vallejo,Tissus ocres|Terres et poussières|Éclaircissements chauds,https://acrylicosvallejo.com/wp-content/uploads/2025/02/MO-CC078Catalago-2025-R01-Baja2.pdf,,,,2026-08-30,Yellow Ochre 70.913 confirmé dans le catalogue Vallejo. Couleur d’interface indicative.,vallejo|model-color|ref:70.913
vallejo-true-metallic-metal-aged-metal-base,VALLEJO,Vallejo,Acrylicos Vallejo,Acrylicos Vallejo,TRUE METALLIC METAL,TRUE METALLIC METAL,metallic,77.139,Aged Metal (Base),1,0.99,confirme,,imports/photos/IMG_5312.jpeg,91ce084c40a55be16b811e9f56685e7249539445ec68314468e5bd2bb2a9317f,#665C4D,Métal vieilli brun,métallique,acrylique à l’eau,18,métal|vieilli|brun|base|Vallejo,Métal ancien|Armures patinées|Machines et décors,https://acrylicosvallejo.com/en/producto/hobby/sets/true-metallic-metal-sets-en/aged-metal-paint-set-77258/,,,,2026-08-30,Aged Metal (Base) confirmé par la fiche fabricant du set 77.258. Couleur d’interface indicative.,vallejo|true-metallic-metal|ref:77.139
vallejo-xpress-color-fairy-skin,VALLEJO,Vallejo,Acrylicos Vallejo,Acrylicos Vallejo,XPRESS COLOR,Xpress Color,one_coat_contrast,72.457,Fairy Skin,1,0.99,confirme,,imports/archive/2026-08-30/IMG_5311.jpeg,641b8a6d2d343f183064b457ec5812024a79e804e1cceb00f2012a13fac9f775,#CA8774,Chair rosée,mat transparent contrasté,acrylique à l’eau,18,chair|rose|Xpress Color|une couche,Carnations rosées|Créatures pâles|Tissus rose terre cuite,https://acrylicosvallejo.com/wp-content/uploads/2025/10/Catalogo_2026-R02.pdf,/manufacturer/vallejo-fairy-skin-72457.png,https://www.vallejo-farben.de/media/image/product/65797/md/fairy-skin-18-ml-xpress-color.png,Packshot Acrylicos Vallejo · copie locale · source de distribution : Vallejo-Farben.de,2026-08-30,"Appliquer sur une sous-couche blanche, grise ou claire. Couleur d’interface indicative.",vallejo|xpress-color|ref:72.457
vallejo-xpress-color-khaki-drill,VALLEJO,Vallejo,Acrylicos Vallejo,Acrylicos Vallejo,XPRESS COLOR,Xpress Color,one_coat_contrast,72.451,Khaki Drill,1,0.98,confirme,,imports/archive/2026-08-30/IMG_5311.jpeg,641b8a6d2d343f183064b457ec5812024a79e804e1cceb00f2012a13fac9f775,#766F48,Kaki,mat transparent contrasté,acrylique à l’eau,18,kaki|uniforme|Xpress Color|une couche,Uniformes|Sangles et paquetages|Toiles et tissus militaires,https://acrylicosvallejo.com/en/category/hobby/xpress-color-en/,/manufacturer/vallejo-khaki-drill-72451.png,https://www.vallejo-farben.de/media/image/product/65791/md/khaki-drill-18-ml-xpress-color.png,Packshot Acrylicos Vallejo · copie locale · source de distribution : Vallejo-Farben.de,2026-08-30,"Appliquer sur une sous-couche blanche, grise ou claire. Couleur d’interface indicative.",vallejo|xpress-color|ref:72.451
vallejo-xpress-color-lizard-green,VALLEJO,Vallejo,Acrylicos Vallejo,Acrylicos Vallejo,XPRESS COLOR,Xpress Color,one_coat_contrast,72.418,Lizard Green,1,0.99,confirme,,imports/archive/2026-08-30/IMG_5311.jpeg,641b8a6d2d343f183064b457ec5812024a79e804e1cceb00f2012a13fac9f775,#315A3B,Vert sombre,mat transparent contrasté,acrylique à l’eau,18,vert|Xpress Color|une couche|écailles,Écailles|Peaux vert sombre|Feuillages et uniformes,https://acrylicosvallejo.com/en/category/hobby/xpress-color-en/,/manufacturer/vallejo-lizard-green-72418.jpg,https://cld-assets.dick-blick.com/image/upload/d_ComingSoon_b9zgfu.jpg/c_limit%2Cw_1920/f_auto/q_auto/v1/09471-7758-M-4ww?_a=BAVMn6DY0,Packshot Acrylicos Vallejo · copie locale · source de distribution : Blick Art Materials,2026-08-30,"Appliquer sur une sous-couche blanche, grise ou claire. Couleur d’interface indicative.",vallejo|xpress-color|ref:72.418
vallejo-xpress-color-mummy-white,VALLEJO,Vallejo,Acrylicos Vallejo,Acrylicos Vallejo,XPRESS COLOR,Xpress Color,one_coat_contrast,72.449,Mummy White,1,0.98,confirme,,imports/archive/2026-08-30/IMG_5311.jpeg,641b8a6d2d343f183064b457ec5812024a79e804e1cceb00f2012a13fac9f775,#D8D5C5,Blanc cassé,mat transparent contrasté,acrylique à l’eau,18,blanc cassé|os|Xpress Color|une couche,Tissus blancs ombrés|Os pâle|Bandages et parchemins,https://acrylicosvallejo.com/wp-content/uploads/2025/10/Catalogo_2026-R02.pdf,/manufacturer/vallejo-mummy-white-72449.png,https://www.vallejo-farben.de/media/image/product/65789/md/mummy-white-18-ml-xpress-color.png,Packshot Acrylicos Vallejo · copie locale · source de distribution : Vallejo-Farben.de,2026-08-30,"Appliquer sur une sous-couche blanche, grise ou claire. Couleur d’interface indicative.",vallejo|xpress-color|ref:72.449
vallejo-xpress-color-space-grey,VALLEJO,Vallejo,Acrylicos Vallejo,Acrylicos Vallejo,XPRESS COLOR,Xpress Color,one_coat_contrast,72.422,Space Grey,1,0.99,confirme,,imports/archive/2026-08-30/IMG_5311.jpeg,641b8a6d2d343f183064b457ec5812024a79e804e1cceb00f2012a13fac9f775,#607383,Gris bleuté,mat transparent contrasté,acrylique à l’eau,18,gris bleu|uniforme|Xpress Color|une couche,Uniformes gris-bleu|Armures froides|Fourrures et tissus,https://acrylicosvallejo.com/en/category/hobby/xpress-color-en/,/manufacturer/vallejo-space-grey-72422.jpg,https://www.vallejo-farben.de/media/image/product/61553/md/space-grey-18-ml-xpress-color.jpg,Packshot Acrylicos Vallejo · copie locale · source de distribution : Vallejo-Farben.de,2026-08-30,"Appliquer sur une sous-couche blanche, grise ou claire. Couleur d’interface indicative.",vallejo|xpress-color|ref:72.422
vallejo-xpress-color-intense-viking-grey,VALLEJO,Vallejo,Acrylicos Vallejo,Acrylicos Vallejo,XPRESS COLOR INTENSE,Xpress Color Intense,one_coat_contrast,72.483,Viking Grey,1,0.99,confirme,,imports/archive/2026-08-30/IMG_5311.jpeg,641b8a6d2d343f183064b457ec5812024a79e804e1cceb00f2012a13fac9f775,#46515A,Gris froid intense,mat transparent contrasté,acrylique à l’eau,18,gris|bleu froid|Xpress Color Intense|une couche,Armures gris froid|Uniformes|Ombres bleutées,https://acrylicosvallejo.com/wp-content/uploads/2025/10/Catalogo_2026-R02.pdf,/manufacturer/vallejo-viking-grey-72483.png,https://www.miniaturicum.de/media/image/product/46878/md/vallejo-xpress-color-viking-grey.png,Packshot Acrylicos Vallejo · copie locale · source de distribution : Miniaturicum,2026-08-30,"Xpress Color Intense, plus pigmentée que la gamme Xpress standard. Couleur d’interface indicative.",vallejo|xpress-color-intense|ref:72.483
cit-contrast-aggaros-dunes,Citadel,Warhammer Colour,Citadel|Citadel Colour|Games Workshop,Games Workshop,Contrast,Contrast,one_coat_contrast,,Aggaros Dunes,1,,confirme,,IMG_5310.jpeg,,#806b43,Ocre sable,transparent,acrylique,18,ocre|sable|cuir|contrast,Sable et terre|Cuir clair|Os vieilli et tissus ocres,https://www.warhammer.com/shop/Aggaros-Dunes-2019,/manufacturer/aggaros-dunes.jpg,,Packshot Citadel · copie locale · source de distribution : The Art Store,2026-08-30,,warhammer-colour|contrast|name:aggaros-dunes
warhammer-colour-contrast-apothecary-white,CITADEL COLOUR,Warhammer Colour,Citadel|Citadel Colour|Games Workshop,Games Workshop,CONTRAST,Contrast,one_coat_contrast,29-34,Apothecary White,1,1.0,confirme,,imports/photos/IMG_5312.jpeg,91ce084c40a55be16b811e9f56685e7249539445ec68314468e5bd2bb2a9317f,#C5D0D2,Blanc ombré froid,transparent contrasté,acrylique à l’eau,18,blanc|gris froid|Contrast|une couche,Armures blanches|Tissus blancs|Ombres froides sur sous-couche blanche,https://trade.games-workshop.com/wp-content/uploads/2019/11/03449999655_Trade_OF_2020_SPA_LoRes.pdf,,,,2026-08-30,Identité confirmée par le propriétaire malgré l’étiquette manuscrite. Couleur d’interface indicative.,warhammer-colour|contrast|ref:29-34
cit-contrast-briar-queen-chill,Citadel,Warhammer Colour,Citadel|Citadel Colour|Games Workshop,Games Workshop,Contrast,Contrast,one_coat_contrast,29-56,Briar Queen Chill,1,,confirme,,IMG_5310.jpeg,,#74c4c9,Bleu spectral,transparent,acrylique,18,bleu clair|spectral|glace|contrast,Fantômes|Fumées et apparitions|Glace et blancs corrompus,https://www.warhammer.com/shop/contrast-briar-queen-chill-18ml-2022,/manufacturer/briar-queen-chill-clean.png,,Packshot Citadel · copie locale · visuel Games Workshop Trade via TC War Room,2026-08-30,,warhammer-colour|contrast|ref:29-56
warhammer-colour-contrast-creed-camo,CITADEL COLOUR,Warhammer Colour,Citadel|Citadel Colour|Games Workshop,Games Workshop,CONTRAST,Contrast,one_coat_contrast,29-23,Creed Camo,1,0.99,confirme,,imports/photos/IMG_5312.jpeg,91ce084c40a55be16b811e9f56685e7249539445ec68314468e5bd2bb2a9317f,#3F4930,Vert camouflage sombre,transparent contrasté,acrylique à l’eau,18,vert|camouflage|militaire|Contrast|une couche,Uniformes|Camouflages|Végétation sombre,https://trade.games-workshop.com/wp-content/uploads/2019/11/03449999655_Trade_OF_2020_SPA_LoRes.pdf,,,,2026-08-30,Référence confirmée par le catalogue Games Workshop Trade. Couleur d’interface indicative.,warhammer-colour|contrast|ref:29-23
cit-contrast-cygor-brown,Citadel,Warhammer Colour,Citadel|Citadel Colour|Games Workshop,Games Workshop,Contrast,Contrast,one_coat_contrast,,Cygor Brown,1,,confirme,,IMG_5310.jpeg,,#3a2322,Brun profond,transparent,acrylique,18,brun|cuir|ombre|contrast,Bois très sombre|Cuir profond|Ombres chaudes,https://www.warhammer.com/shop/Cygor-Brown-2019,/manufacturer/cygor-brown.png,,Packshot Citadel · copie locale · source de distribution : Wargames Emporium,2026-08-30,,warhammer-colour|contrast|name:cygor-brown
cit-contrast-darkoath-flesh,Citadel,Warhammer Colour,Citadel|Citadel Colour|Games Workshop,Games Workshop,Contrast,Contrast,one_coat_contrast,29-33,Darkoath Flesh,2,0.99,confirme,,IMG_5310.jpeg|imports/photos/IMG_5312.jpeg,91ce084c40a55be16b811e9f56685e7249539445ec68314468e5bd2bb2a9317f,#9a6b58,Chair hâlée,transparent,acrylique,18,chair|peau|contrast,Carnations hâlées|Cuir clair|Tissus terre cuite,https://www.warhammer.com/shop/Darkoath-Flesh-2019,/manufacturer/darkoath-flesh.jpg,,Packshot Citadel · copie locale · source de distribution : More Hobby Games,2026-08-30,Couleur d’interface indicative.,warhammer-colour|contrast|ref:29-33
cit-contrast-gore-grunta-fur,Citadel,Warhammer Colour,Citadel|Citadel Colour|Games Workshop,Games Workshop,Contrast,Contrast,one_coat_contrast,,Gore-Grunta Fur,1,,confirme,,IMG_5310.jpeg,,#6d3524,Brun roux,transparent,acrylique,18,brun rouge|fourrure|cuir|contrast,Fourrures|Cuir roux|Bois chaud,https://www.warhammer.com/shop/Gore-Grunta-Fur-2019,/manufacturer/gore-grunta-fur.jpg,,Packshot Citadel · copie locale · source de distribution : Hobby-Max,2026-08-30,,warhammer-colour|contrast|name:gore-grunta-fur
warhammer-colour-contrast-gryph-charger-grey,CITADEL COLOUR,Warhammer Colour,Citadel|Citadel Colour|Games Workshop,Games Workshop,CONTRAST,Contrast,one_coat_contrast,29-35,Gryph-Charger Grey,1,0.99,confirme,,imports/photos/IMG_5312.jpeg,91ce084c40a55be16b811e9f56685e7249539445ec68314468e5bd2bb2a9317f,#607985,Gris bleu froid,transparent contrasté,acrylique à l’eau,18,gris bleu|froid|Contrast|une couche,Armures gris bleu|Fourrures|Ombres froides,https://trade.games-workshop.com/wp-content/uploads/2019/11/03449999655_Trade_OF_2020_SPA_LoRes.pdf,,,,2026-08-30,Référence confirmée par le catalogue Games Workshop Trade. Couleur d’interface indicative.,warhammer-colour|contrast|ref:29-35
cit-contrast-guilliman-flesh,Citadel,Warhammer Colour,Citadel|Citadel Colour|Games Workshop,Games Workshop,Contrast,Contrast,one_coat_contrast,29-32,Guilliman Flesh,1,,confirme,,IMG_5310.jpeg,,#a76550,Chair chaude,transparent,acrylique,18,chair|peau|contrast,Carnations claires|Visages|Mains et détails de peau,https://www.warhammer.com/shop/Guilliman-Flesh-2019,/manufacturer/guilliman-flesh.png,,Packshot Citadel · copie locale · source de distribution : The Forge,2026-08-30,,warhammer-colour|contrast|ref:29-32
warhammer-colour-contrast-gutrippa-flesh,CITADEL COLOUR,Warhammer Colour,Citadel|Citadel Colour|Games Workshop,Games Workshop,CONTRAST,Contrast,one_coat_contrast,29-49,Gutrippa Flesh,1,0.99,confirme,,imports/photos/IMG_5312.jpeg,91ce084c40a55be16b811e9f56685e7249539445ec68314468e5bd2bb2a9317f,#87934E,Vert peau jaunâtre,transparent contrasté,acrylique à l’eau,18,vert|peau|orque|Contrast|une couche,Peaux d’orques|Créatures|Végétation claire,https://www.blackheartgames.com.au/collections/back-in-stock,,,,2026-08-30,Référence confirmée par une liste de distribution. Couleur d’interface indicative.,warhammer-colour|contrast|ref:29-49
cit-contrast-imperial-fist,Citadel,Warhammer Colour,Citadel|Citadel Colour|Games Workshop,Games Workshop,Contrast,Contrast,one_coat_contrast,29-54,Imperial Fist,1,,confirme,,IMG_5310.jpeg,,#ffb300,Jaune vif,transparent,acrylique,18,jaune|vif|contrast,Armures jaune vif|Héraldiques|Aplats saturés sur sous-couche claire,https://www.warhammer.com/shop/contrast-imperial-fist-18ml-2022,/manufacturer/imperial-fist.jpg,,Packshot Citadel · copie locale · source de distribution : L’Atelier du Train,2026-08-30,,warhammer-colour|contrast|ref:29-54
cit-contrast-ironjawz-yellow,Citadel,Warhammer Colour,Citadel|Citadel Colour|Games Workshop,Games Workshop,Contrast,Contrast,one_coat_contrast,29-52,Ironjawz Yellow,1,,confirme,,IMG_5310.jpeg,,#d6a800,Jaune ocre,transparent,acrylique,18,jaune|ocre|contrast,Armures jaunes|Cuir ocre|Grandes surfaces texturées,https://www.warhammer.com/shop/contrast-ironjawz-yellow-18ml-2022,/manufacturer/ironjawz-yellow.png,,Packshot Citadel · copie locale · visuel Games Workshop Trade via Kick-Ass Mail Order,2026-08-30,,warhammer-colour|contrast|ref:29-52
